variant,cluster_id,prompt_id,primary_mood,persona_id,warm,rotation,rank,tmdb_id,title,mood_coverage,evidence_source,runtime_satisfied,era_satisfied,duration_ms
"control","p001:cold_general","p001","tense","cold_general",false,0,1,635302,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",1.0000,KEYWORD_BACKED,true,true,384.063
"control","p001:cold_general","p001","tense","cold_general",false,1,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,194.424
"control","p001:cold_general","p001","tense","cold_general",false,1,2,713704,"Evil Dead Rise",1.0000,KEYWORD_BACKED,false,true,194.424
"control","p001:cold_general","p001","tense","cold_general",false,2,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,120.339
"control","p001:cold_general","p001","tense","cold_general",false,2,2,635302,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",1.0000,KEYWORD_BACKED,true,true,120.339
"control","p001:cold_general","p001","tense","cold_general",false,4,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,110.826
"control","p001:cold_general","p001","tense","cold_general",false,5,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,95.987
"control","p001:cold_general","p001","tense","cold_general",false,6,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,90.765
"control","p001:cold_general","p001","tense","cold_general",false,7,1,1616268,"Aroopi",1.0000,OVERVIEW_ONLY,true,true,105.051
"control","p001:warm_thriller","p001","tense","warm_thriller",true,0,1,629,"The Usual Suspects",1.0000,KEYWORD_BACKED,true,true,182.731
"control","p001:warm_thriller","p001","tense","warm_thriller",true,0,2,1100782,"Smile 2",1.0000,KEYWORD_BACKED,true,true,182.731
"control","p001:warm_thriller","p001","tense","warm_thriller",true,1,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,110.588
"control","p001:warm_thriller","p001","tense","warm_thriller",true,1,2,1100782,"Smile 2",1.0000,KEYWORD_BACKED,true,true,110.588
"control","p001:warm_thriller","p001","tense","warm_thriller",true,1,3,604079,"The Long Walk",1.0000,KEYWORD_BACKED,true,true,110.588
"control","p001:warm_thriller","p001","tense","warm_thriller",true,2,1,629,"The Usual Suspects",1.0000,KEYWORD_BACKED,true,true,203.384
"control","p001:warm_thriller","p001","tense","warm_thriller",true,2,2,604079,"The Long Walk",1.0000,KEYWORD_BACKED,true,true,203.384
"control","p001:warm_thriller","p001","tense","warm_thriller",true,2,3,756999,"The Black Phone",1.0000,KEYWORD_BACKED,false,true,203.384
"control","p001:warm_thriller","p001","tense","warm_thriller",true,3,1,423108,"The Conjuring: The Devil Made Me Do It",1.0000,KEYWORD_BACKED,true,true,123.016
"control","p001:warm_thriller","p001","tense","warm_thriller",true,3,2,1100782,"Smile 2",1.0000,KEYWORD_BACKED,true,true,123.016
"control","p001:warm_thriller","p001","tense","warm_thriller",true,4,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,200.912
"control","p001:warm_thriller","p001","tense","warm_thriller",true,4,2,1100782,"Smile 2",1.0000,KEYWORD_BACKED,true,true,200.912
"control","p001:warm_thriller","p001","tense","warm_thriller",true,4,3,635302,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",1.0000,KEYWORD_BACKED,true,true,200.912
"control","p001:warm_thriller","p001","tense","warm_thriller",true,5,1,272,"Batman Begins",1.0000,KEYWORD_BACKED,false,true,122.590
"control","p001:warm_thriller","p001","tense","warm_thriller",true,6,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,125.272
"control","p001:warm_thriller","p001","tense","warm_thriller",true,7,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,113.480
"control","p001:warm_thriller","p001","tense","warm_thriller",true,7,2,574475,"Final Destination Bloodlines",1.0000,KEYWORD_BACKED,true,true,113.480
"control","p001:warm_thriller","p001","tense","warm_thriller",true,7,3,604079,"The Long Walk",1.0000,KEYWORD_BACKED,true,true,113.480
"control","p001:warm_thriller","p001","tense","warm_thriller",true,8,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,132.759
"control","p001:warm_thriller","p001","tense","warm_thriller",true,8,2,629,"The Usual Suspects",1.0000,KEYWORD_BACKED,true,true,132.759
"control","p001:warm_thriller","p001","tense","warm_thriller",true,8,3,1100782,"Smile 2",1.0000,KEYWORD_BACKED,true,true,132.759
"control","p001:warm_thriller","p001","tense","warm_thriller",true,8,4,713704,"Evil Dead Rise",1.0000,KEYWORD_BACKED,false,true,132.759
"control","p001:warm_thriller","p001","tense","warm_thriller",true,9,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,128.543
"control","p001:warm_comfort","p001","tense","warm_comfort",true,0,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,85.089
"control","p001:warm_comfort","p001","tense","warm_comfort",true,0,2,574475,"Final Destination Bloodlines",1.0000,KEYWORD_BACKED,true,true,85.089
"control","p001:warm_comfort","p001","tense","warm_comfort",true,0,3,713704,"Evil Dead Rise",1.0000,KEYWORD_BACKED,false,true,85.089
"control","p001:warm_comfort","p001","tense","warm_comfort",true,1,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,108.796
"control","p001:warm_comfort","p001","tense","warm_comfort",true,2,1,629,"The Usual Suspects",1.0000,KEYWORD_BACKED,true,true,81.562
"control","p001:warm_comfort","p001","tense","warm_comfort",true,2,2,1616268,"Aroopi",1.0000,OVERVIEW_ONLY,true,true,81.562
"control","p001:warm_comfort","p001","tense","warm_comfort",true,3,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,93.908
"control","p001:warm_comfort","p001","tense","warm_comfort",true,3,2,574475,"Final Destination Bloodlines",1.0000,KEYWORD_BACKED,true,true,93.908
"control","p001:warm_comfort","p001","tense","warm_comfort",true,4,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,106.812
"control","p001:warm_comfort","p001","tense","warm_comfort",true,6,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,97.865
"control","p001:warm_comfort","p001","tense","warm_comfort",true,7,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,147.258
"control","p001:warm_comfort","p001","tense","warm_comfort",true,8,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,126.581
"control","p001:warm_cerebral","p001","tense","warm_cerebral",true,1,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,104.753
"control","p001:warm_cerebral","p001","tense","warm_cerebral",true,1,2,713704,"Evil Dead Rise",1.0000,KEYWORD_BACKED,false,true,104.753
"control","p001:warm_cerebral","p001","tense","warm_cerebral",true,2,1,635302,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",1.0000,KEYWORD_BACKED,true,true,112.747
"control","p001:warm_cerebral","p001","tense","warm_cerebral",true,3,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,103.157
"control","p001:warm_cerebral","p001","tense","warm_cerebral",true,3,2,629,"The Usual Suspects",1.0000,KEYWORD_BACKED,true,true,103.157
"control","p001:warm_cerebral","p001","tense","warm_cerebral",true,4,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,115.950
"control","p001:warm_cerebral","p001","tense","warm_cerebral",true,4,2,1616268,"Aroopi",1.0000,OVERVIEW_ONLY,true,true,115.950
"control","p001:warm_cerebral","p001","tense","warm_cerebral",true,7,1,1339713,"Obsession",1.0000,KEYWORD_BACKED,true,true,126.121
"control","p001:warm_cerebral","p001","tense","warm_cerebral",true,7,2,604079,"The Long Walk",1.0000,KEYWORD_BACKED,true,true,126.121
"control","p002:cold_general","p002","comforting","cold_general",false,0,1,14836,"Coraline",1.0000,KEYWORD_BACKED,true,true,66.674
"control","p002:cold_general","p002","comforting","cold_general",false,1,1,803796,"KPop Demon Hunters",1.0000,KEYWORD_BACKED,true,true,81.305
"control","p002:cold_general","p002","comforting","cold_general",false,1,2,1297842,"GOAT",1.0000,KEYWORD_BACKED,true,true,81.305
"control","p002:cold_general","p002","comforting","cold_general",false,4,1,803796,"KPop Demon Hunters",1.0000,KEYWORD_BACKED,true,true,137.021
"control","p002:cold_general","p002","comforting","cold_general",false,5,1,14836,"Coraline",1.0000,KEYWORD_BACKED,true,true,59.256
"control","p002:cold_general","p002","comforting","cold_general",false,6,1,14836,"Coraline",1.0000,KEYWORD_BACKED,true,true,59.043
"control","p002:cold_general","p002","comforting","cold_general",false,9,1,293660,"Deadpool",1.0000,OVERVIEW_ONLY,false,true,66.342
"control","p002:warm_thriller","p002","comforting","warm_thriller",true,0,1,803796,"KPop Demon Hunters",1.0000,KEYWORD_BACKED,true,true,75.837
"control","p002:warm_thriller","p002","comforting","warm_thriller",true,2,1,14836,"Coraline",1.0000,KEYWORD_BACKED,true,true,92.133
"control","p002:warm_thriller","p002","comforting","warm_thriller",true,4,1,803796,"KPop Demon Hunters",1.0000,KEYWORD_BACKED,true,true,91.833
"control","p002:warm_thriller","p002","comforting","warm_thriller",true,4,2,14836,"Coraline",1.0000,KEYWORD_BACKED,true,true,91.833
"control","p002:warm_thriller","p002","comforting","warm_thriller",true,4,3,1297842,"GOAT",1.0000,KEYWORD_BACKED,true,true,91.833
"control","p002:warm_thriller","p002","comforting","warm_thriller",true,6,1,14836,"Coraline",1.0000,KEYWORD_BACKED,true,true,82.945
"control","p002:warm_thriller","p002","comforting","warm_thriller",true,6,2,1297842,"GOAT",1.0000,KEYWORD_BACKED,true,true,82.945
"control","p002:warm_thriller","p002","comforting","warm_thriller",true,7,1,803796,"KPop Demon Hunters",1.0000,KEYWORD_BACKED,true,true,92.874
"control","p002:warm_thriller","p002","comforting","warm_thriller",true,9,1,803796,"KPop Demon Hunters",1.0000,KEYWORD_BACKED,true,true,163.902
"control","p002:warm_thriller","p002","comforting","warm_thriller",true,9,2,1297842,"GOAT",1.0000,KEYWORD_BACKED,true,true,163.902
"control","p002:warm_comfort","p002","comforting","warm_comfort",true,0,1,38757,"Tangled",1.0000,KEYWORD_BACKED,true,true,86.823
"control","p002:warm_comfort","p002","comforting","warm_comfort",true,1,1,803796,"KPop Demon Hunters",1.0000,KEYWORD_BACKED,true,true,83.466
"control","p002:warm_comfort","p002","comforting","warm_comfort",true,2,1,1297842,"GOAT",1.0000,KEYWORD_BACKED,true,true,88.910
"control","p002:warm_comfort","p002","comforting","warm_comfort",true,2,2,14836,"Coraline",1.0000,KEYWORD_BACKED,true,true,88.910
"control","p002:warm_comfort","p002","comforting","warm_comfort",true,4,1,803796,"KPop Demon Hunters",1.0000,KEYWORD_BACKED,true,true,80.107
"control","p002:warm_comfort","p002","comforting","warm_comfort",true,4,2,293660,"Deadpool",1.0000,OVERVIEW_ONLY,false,true,80.107
"control","p002:warm_comfort","p002","comforting","warm_comfort",true,5,1,803796,"KPop Demon Hunters",1.0000,KEYWORD_BACKED,true,true,101.438
"control","p002:warm_comfort","p002","comforting","warm_comfort",true,5,2,293660,"Deadpool",1.0000,OVERVIEW_ONLY,false,true,101.438
"control","p002:warm_comfort","p002","comforting","warm_comfort",true,7,1,293660,"Deadpool",1.0000,OVERVIEW_ONLY,false,true,127.690
"control","p002:warm_comfort","p002","comforting","warm_comfort",true,8,1,14836,"Coraline",1.0000,KEYWORD_BACKED,true,true,90.214
"control","p002:warm_comfort","p002","comforting","warm_comfort",true,8,2,109445,"Frozen",1.0000,OVERVIEW_ONLY,true,true,90.214
"control","p002:warm_comfort","p002","comforting","warm_comfort",true,9,1,1297842,"GOAT",1.0000,KEYWORD_BACKED,true,true,78.520
"control","p002:warm_comfort","p002","comforting","warm_comfort",true,9,2,14836,"Coraline",1.0000,KEYWORD_BACKED,true,true,78.520
"control","p002:warm_comfort","p002","comforting","warm_comfort",true,9,3,293660,"Deadpool",1.0000,OVERVIEW_ONLY,false,true,78.520
"control","p002:warm_cerebral","p002","comforting","warm_cerebral",true,0,1,1297842,"GOAT",1.0000,KEYWORD_BACKED,true,true,81.535
"control","p002:warm_cerebral","p002","comforting","warm_cerebral",true,1,1,803796,"KPop Demon Hunters",1.0000,KEYWORD_BACKED,true,true,78.033
"control","p002:warm_cerebral","p002","comforting","warm_cerebral",true,2,1,1297842,"GOAT",1.0000,KEYWORD_BACKED,true,true,67.558
"control","p002:warm_cerebral","p002","comforting","warm_cerebral",true,4,1,803796,"KPop Demon Hunters",1.0000,KEYWORD_BACKED,true,true,80.132
"control","p002:warm_cerebral","p002","comforting","warm_cerebral",true,5,1,293660,"Deadpool",1.0000,OVERVIEW_ONLY,false,true,77.671
"control","p002:warm_cerebral","p002","comforting","warm_cerebral",true,6,1,14836,"Coraline",1.0000,KEYWORD_BACKED,true,true,103.547
"control","p002:warm_cerebral","p002","comforting","warm_cerebral",true,7,1,14836,"Coraline",1.0000,KEYWORD_BACKED,true,true,66.022
