cluster_id,prompt_id,primary_mood,persona_id,warm,rotation,rank,tmdb_id,title,mood_coverage,evidence_source,runtime_satisfied,era_satisfied,duration_ms,merged_candidates,source_channels
"p001:cold_general","p001","tense","cold_general",false,0,1,635302,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",1.000000,KEYWORD_BACKED,true,true,200.238,60,"high-rated"
"p001:cold_general","p001","tense","cold_general",false,1,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,119.702,60,"high-rated"
"p001:cold_general","p001","tense","cold_general",false,1,2,713704,"Evil Dead Rise",1.000000,KEYWORD_BACKED,false,true,119.702,60,"mood-aligned"
"p001:cold_general","p001","tense","cold_general",false,2,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,93.909,60,"mood-aligned"
"p001:cold_general","p001","tense","cold_general",false,2,2,635302,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",1.000000,KEYWORD_BACKED,true,true,93.909,60,"high-rated"
"p001:cold_general","p001","tense","cold_general",false,4,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,115.685,60,"high-rated"
"p001:cold_general","p001","tense","cold_general",false,5,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,101.364,60,"popular"
"p001:cold_general","p001","tense","cold_general",false,6,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,74.221,60,"mood-aligned"
"p001:cold_general","p001","tense","cold_general",false,7,1,1616268,"Aroopi",1.000000,OVERVIEW_ONLY,true,true,74.494,60,"mood-aligned"
"p001:warm_thriller","p001","tense","warm_thriller",true,0,1,629,"The Usual Suspects",1.000000,KEYWORD_BACKED,true,true,117.379,80,"high-rated"
"p001:warm_thriller","p001","tense","warm_thriller",true,0,2,1100782,"Smile 2",1.000000,KEYWORD_BACKED,true,true,117.379,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,1,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,97.830,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,1,2,1100782,"Smile 2",1.000000,KEYWORD_BACKED,true,true,97.830,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,1,3,604079,"The Long Walk",1.000000,KEYWORD_BACKED,true,true,97.830,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,2,1,629,"The Usual Suspects",1.000000,KEYWORD_BACKED,true,true,93.981,80,"high-rated"
"p001:warm_thriller","p001","tense","warm_thriller",true,2,2,604079,"The Long Walk",1.000000,KEYWORD_BACKED,true,true,93.981,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,2,3,756999,"The Black Phone",1.000000,KEYWORD_BACKED,false,true,93.981,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,3,1,423108,"The Conjuring: The Devil Made Me Do It",1.000000,KEYWORD_BACKED,true,true,87.047,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,3,2,1100782,"Smile 2",1.000000,KEYWORD_BACKED,true,true,87.047,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,4,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,107.735,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,4,2,1100782,"Smile 2",1.000000,KEYWORD_BACKED,true,true,107.735,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,4,3,635302,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",1.000000,KEYWORD_BACKED,true,true,107.735,80,"high-rated"
"p001:warm_thriller","p001","tense","warm_thriller",true,5,1,272,"Batman Begins",1.000000,KEYWORD_BACKED,false,true,84.935,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,6,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,82.194,80,"popular"
"p001:warm_thriller","p001","tense","warm_thriller",true,7,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,89.230,80,"mood-aligned"
"p001:warm_thriller","p001","tense","warm_thriller",true,7,2,574475,"Final Destination Bloodlines",1.000000,KEYWORD_BACKED,true,true,89.230,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,7,3,604079,"The Long Walk",1.000000,KEYWORD_BACKED,true,true,89.230,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,8,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,90.325,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,8,2,629,"The Usual Suspects",1.000000,KEYWORD_BACKED,true,true,90.325,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,8,3,1100782,"Smile 2",1.000000,KEYWORD_BACKED,true,true,90.325,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,8,4,713704,"Evil Dead Rise",1.000000,KEYWORD_BACKED,false,true,90.325,80,"mood-aligned"
"p001:warm_thriller","p001","tense","warm_thriller",true,9,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,77.063,80,"genre-affinity"
"p001:warm_comfort","p001","tense","warm_comfort",true,0,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,81.911,80,"mood-aligned"
"p001:warm_comfort","p001","tense","warm_comfort",true,0,2,574475,"Final Destination Bloodlines",1.000000,KEYWORD_BACKED,true,true,81.911,80,"mood-aligned"
"p001:warm_comfort","p001","tense","warm_comfort",true,0,3,713704,"Evil Dead Rise",1.000000,KEYWORD_BACKED,false,true,81.911,80,"mood-aligned"
"p001:warm_comfort","p001","tense","warm_comfort",true,1,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,84.401,80,"mood-aligned"
"p001:warm_comfort","p001","tense","warm_comfort",true,2,1,629,"The Usual Suspects",1.000000,KEYWORD_BACKED,true,true,72.581,80,"high-rated"
"p001:warm_comfort","p001","tense","warm_comfort",true,2,2,1616268,"Aroopi",1.000000,OVERVIEW_ONLY,true,true,72.581,80,"mood-aligned"
