cluster_id,prompt_id,primary_mood,persona_id,warm,rotation,rank,tmdb_id,title,mood_coverage,evidence_source,runtime_satisfied,era_satisfied,duration_ms,merged_candidates,source_channels
"p001:cold_general","p001","tense","cold_general",false,0,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,1020.507,60,"high-rated"
"p001:cold_general","p001","tense","cold_general",false,2,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,153.907,60,"mood-aligned"
"p001:cold_general","p001","tense","cold_general",false,2,2,635302,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",1.000000,KEYWORD_BACKED,true,true,153.907,60,"high-rated"
"p001:cold_general","p001","tense","cold_general",false,2,3,574475,"Final Destination Bloodlines",1.000000,KEYWORD_BACKED,true,true,153.907,60,"mood-aligned"
"p001:cold_general","p001","tense","cold_general",false,2,4,713704,"Evil Dead Rise",1.000000,KEYWORD_BACKED,false,true,153.907,60,"mood-aligned"
"p001:cold_general","p001","tense","cold_general",false,5,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,130.711,60,"popular"
"p001:cold_general","p001","tense","cold_general",false,5,2,713704,"Evil Dead Rise",1.000000,KEYWORD_BACKED,false,true,130.711,60,"mood-aligned"
"p001:cold_general","p001","tense","cold_general",false,6,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,75.388,60,"mood-aligned"
"p001:cold_general","p001","tense","cold_general",false,7,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,61.869,60,"high-rated"
"p001:cold_general","p001","tense","cold_general",false,7,2,1616268,"Aroopi",1.000000,OVERVIEW_ONLY,true,true,61.869,60,"mood-aligned"
"p001:cold_general","p001","tense","cold_general",false,8,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,68.223,60,"high-rated"
"p001:warm_thriller","p001","tense","warm_thriller",true,0,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,126.653,80,"high-rated"
"p001:warm_thriller","p001","tense","warm_thriller",true,0,2,713704,"Evil Dead Rise",1.000000,KEYWORD_BACKED,false,true,126.653,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,1,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,106.536,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,1,2,574475,"Final Destination Bloodlines",1.000000,KEYWORD_BACKED,true,true,106.536,80,"mood-aligned"
"p001:warm_thriller","p001","tense","warm_thriller",true,1,3,604079,"The Long Walk",1.000000,KEYWORD_BACKED,true,true,106.536,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,2,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,118.357,80,"high-rated"
"p001:warm_thriller","p001","tense","warm_thriller",true,2,2,423108,"The Conjuring: The Devil Made Me Do It",1.000000,KEYWORD_BACKED,true,true,118.357,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,2,3,272,"Batman Begins",1.000000,KEYWORD_BACKED,false,true,118.357,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,3,1,1100782,"Smile 2",1.000000,KEYWORD_BACKED,true,true,114.211,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,4,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,97.523,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,4,2,635302,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",1.000000,KEYWORD_BACKED,true,true,97.523,80,"high-rated"
"p001:warm_thriller","p001","tense","warm_thriller",true,5,1,629,"The Usual Suspects",1.000000,KEYWORD_BACKED,true,true,82.568,80,"high-rated"
"p001:warm_thriller","p001","tense","warm_thriller",true,5,2,423108,"The Conjuring: The Devil Made Me Do It",1.000000,KEYWORD_BACKED,true,true,82.568,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,5,3,272,"Batman Begins",1.000000,KEYWORD_BACKED,false,true,82.568,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,6,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,94.401,80,"popular"
"p001:warm_thriller","p001","tense","warm_thriller",true,6,2,1616268,"Aroopi",1.000000,OVERVIEW_ONLY,true,true,94.401,80,"mood-aligned"
"p001:warm_thriller","p001","tense","warm_thriller",true,7,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,95.415,80,"mood-aligned"
"p001:warm_thriller","p001","tense","warm_thriller",true,7,2,574475,"Final Destination Bloodlines",1.000000,KEYWORD_BACKED,true,true,95.415,80,"mood-aligned"
"p001:warm_thriller","p001","tense","warm_thriller",true,7,3,635302,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",1.000000,KEYWORD_BACKED,true,true,95.415,80,"high-rated"
"p001:warm_thriller","p001","tense","warm_thriller",true,7,4,756999,"The Black Phone",1.000000,KEYWORD_BACKED,false,true,95.415,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,8,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,91.416,80,"genre-affinity"
"p001:warm_thriller","p001","tense","warm_thriller",true,9,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,85.586,80,"genre-affinity"
"p001:warm_comfort","p001","tense","warm_comfort",true,0,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,83.195,80,"mood-aligned"
"p001:warm_comfort","p001","tense","warm_comfort",true,1,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,84.083,80,"mood-aligned"
"p001:warm_comfort","p001","tense","warm_comfort",true,3,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,95.529,80,"popular"
"p001:warm_comfort","p001","tense","warm_comfort",true,4,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,90.183,80,"mood-aligned"
"p001:warm_comfort","p001","tense","warm_comfort",true,5,1,574475,"Final Destination Bloodlines",1.000000,KEYWORD_BACKED,true,true,102.852,80,"mood-aligned"
"p001:warm_comfort","p001","tense","warm_comfort",true,6,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,74.219,80,"mood-aligned"
"p001:warm_comfort","p001","tense","warm_comfort",true,6,2,574475,"Final Destination Bloodlines",1.000000,KEYWORD_BACKED,true,true,74.219,80,"mood-aligned"
"p001:warm_comfort","p001","tense","warm_comfort",true,7,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,74.310,80,"mood-aligned"
"p001:warm_comfort","p001","tense","warm_comfort",true,7,2,635302,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",1.000000,KEYWORD_BACKED,true,true,74.310,80,"genre-affinity"
"p001:warm_comfort","p001","tense","warm_comfort",true,8,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,94.770,80,"popular"
"p001:warm_comfort","p001","tense","warm_comfort",true,8,2,629,"The Usual Suspects",1.000000,KEYWORD_BACKED,true,true,94.770,80,"high-rated"
"p001:warm_comfort","p001","tense","warm_comfort",true,9,1,635302,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",1.000000,KEYWORD_BACKED,true,true,86.099,80,"high-rated"
"p001:warm_comfort","p001","tense","warm_comfort",true,9,2,574475,"Final Destination Bloodlines",1.000000,KEYWORD_BACKED,true,true,86.099,80,"mood-aligned"
"p001:warm_cerebral","p001","tense","warm_cerebral",true,0,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,87.728,80,"high-rated"
"p001:warm_cerebral","p001","tense","warm_cerebral",true,0,2,635302,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",1.000000,KEYWORD_BACKED,true,true,87.728,80,"high-rated"
"p001:warm_cerebral","p001","tense","warm_cerebral",true,1,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,90.893,80,"mood-aligned"
"p001:warm_cerebral","p001","tense","warm_cerebral",true,2,1,635302,"Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train",1.000000,KEYWORD_BACKED,true,true,82.309,80,"high-rated"
"p001:warm_cerebral","p001","tense","warm_cerebral",true,3,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,74.915,80,"popular"
"p001:warm_cerebral","p001","tense","warm_cerebral",true,3,2,604079,"The Long Walk",1.000000,KEYWORD_BACKED,true,true,74.915,80,"genre-affinity"
"p001:warm_cerebral","p001","tense","warm_cerebral",true,4,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,109.383,80,"popular"
"p001:warm_cerebral","p001","tense","warm_cerebral",true,4,2,713704,"Evil Dead Rise",1.000000,KEYWORD_BACKED,false,true,109.383,80,"mood-aligned"
"p001:warm_cerebral","p001","tense","warm_cerebral",true,5,1,574475,"Final Destination Bloodlines",1.000000,KEYWORD_BACKED,true,true,132.304,80,"mood-aligned"
"p001:warm_cerebral","p001","tense","warm_cerebral",true,6,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,134.988,80,"high-rated"
"p001:warm_cerebral","p001","tense","warm_cerebral",true,7,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,142.557,80,"mood-aligned"
"p001:warm_cerebral","p001","tense","warm_cerebral",true,7,2,713704,"Evil Dead Rise",1.000000,KEYWORD_BACKED,false,true,142.557,80,"mood-aligned"
"p001:warm_cerebral","p001","tense","warm_cerebral",true,8,1,1339713,"Obsession",1.000000,KEYWORD_BACKED,true,true,86.603,80,"mood-aligned"
"p001:warm_cerebral","p001","tense","warm_cerebral",true,9,1,574475,"Final Destination Bloodlines",1.000000,KEYWORD_BACKED,true,true,91.408,80,"mood-aligned"
"p002:cold_general","p002","comforting","cold_general",false,0,1,1297842,"GOAT",1.000000,KEYWORD_BACKED,true,true,65.101,60,"mood-aligned"
