variant,cluster_id,prompt_id,primary_mood,persona_id,warm,rotation,rank,tmdb_id,title,mood_coverage,evidence_source,runtime_satisfied,era_satisfied,duration_ms
"control","p005:cold_general","p005","adventurous","cold_general",false,0,1,129,"Spirited Away",0.5000,GENRE_ONLY,true,true,30.535
"control","p005:cold_general","p005","adventurous","cold_general",false,0,2,1726,"Iron Man",0.5000,GENRE_ONLY,true,true,30.535
"control","p005:cold_general","p005","adventurous","cold_general",false,0,3,14836,"Coraline",0.5000,GENRE_ONLY,false,true,30.535
"control","p005:cold_general","p005","adventurous","cold_general",false,1,1,7451,"xXx",0.5000,GENRE_ONLY,true,true,30.807
"control","p005:cold_general","p005","adventurous","cold_general",false,1,2,557,"Spider-Man",0.5000,GENRE_ONLY,true,true,30.807
"control","p005:cold_general","p005","adventurous","cold_general",false,1,3,1579,"Apocalypto",0.5000,OVERVIEW_ONLY,false,true,30.807
"control","p005:cold_general","p005","adventurous","cold_general",false,2,1,7451,"xXx",0.5000,GENRE_ONLY,true,true,28.767
"control","p005:cold_general","p005","adventurous","cold_general",false,2,2,808,"Shrek",0.5000,GENRE_ONLY,false,true,28.767
"control","p005:cold_general","p005","adventurous","cold_general",false,3,1,7451,"xXx",0.5000,GENRE_ONLY,true,true,32.853
"control","p005:cold_general","p005","adventurous","cold_general",false,4,1,7451,"xXx",0.5000,GENRE_ONLY,true,true,40.329
"control","p005:cold_general","p005","adventurous","cold_general",false,4,2,38,"Eternal Sunshine of the Spotless Mind",0.5000,GENRE_ONLY,true,true,40.329
"control","p005:cold_general","p005","adventurous","cold_general",false,4,3,1579,"Apocalypto",0.5000,OVERVIEW_ONLY,false,true,40.329
"control","p005:cold_general","p005","adventurous","cold_general",false,4,4,13012,"Felon",0.5000,GENRE_ONLY,false,true,40.329
"control","p005:cold_general","p005","adventurous","cold_general",false,5,1,38,"Eternal Sunshine of the Spotless Mind",0.5000,GENRE_ONLY,true,true,24.788
"control","p005:cold_general","p005","adventurous","cold_general",false,5,2,808,"Shrek",0.5000,GENRE_ONLY,false,true,24.788
"control","p005:cold_general","p005","adventurous","cold_general",false,6,1,1726,"Iron Man",0.5000,GENRE_ONLY,true,true,23.305
"control","p005:cold_general","p005","adventurous","cold_general",false,6,2,13012,"Felon",0.5000,GENRE_ONLY,false,true,23.305
"control","p005:cold_general","p005","adventurous","cold_general",false,6,3,1579,"Apocalypto",0.5000,OVERVIEW_ONLY,false,true,23.305
"control","p005:cold_general","p005","adventurous","cold_general",false,7,1,7451,"xXx",0.5000,GENRE_ONLY,true,true,29.924
"control","p005:cold_general","p005","adventurous","cold_general",false,7,2,129,"Spirited Away",0.5000,GENRE_ONLY,true,true,29.924
"control","p005:cold_general","p005","adventurous","cold_general",false,7,3,38,"Eternal Sunshine of the Spotless Mind",0.5000,GENRE_ONLY,true,true,29.924
"control","p005:cold_general","p005","adventurous","cold_general",false,7,4,1726,"Iron Man",0.5000,GENRE_ONLY,true,true,29.924
"control","p005:cold_general","p005","adventurous","cold_general",false,7,5,13012,"Felon",0.5000,GENRE_ONLY,false,true,29.924
"control","p005:cold_general","p005","adventurous","cold_general",false,8,1,7451,"xXx",0.5000,GENRE_ONLY,true,true,24.059
"control","p005:cold_general","p005","adventurous","cold_general",false,9,1,38,"Eternal Sunshine of the Spotless Mind",0.5000,GENRE_ONLY,true,true,24.235
"control","p005:cold_general","p005","adventurous","cold_general",false,9,2,14836,"Coraline",0.5000,GENRE_ONLY,false,true,24.235
"control","p005:cold_general","p005","adventurous","cold_general",false,9,3,13012,"Felon",0.5000,GENRE_ONLY,false,true,24.235
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,0,1,7451,"xXx",0.5000,GENRE_ONLY,true,true,46.296
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,0,2,38,"Eternal Sunshine of the Spotless Mind",0.5000,GENRE_ONLY,true,true,46.296
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,0,3,14836,"Coraline",0.5000,GENRE_ONLY,false,true,46.296
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,1,1,7451,"xXx",0.5000,GENRE_ONLY,true,true,43.563
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,1,2,557,"Spider-Man",0.5000,GENRE_ONLY,true,true,43.563
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,1,3,1579,"Apocalypto",0.5000,OVERVIEW_ONLY,false,true,43.563
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,2,1,129,"Spirited Away",0.5000,GENRE_ONLY,true,true,36.482
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,2,2,38,"Eternal Sunshine of the Spotless Mind",0.5000,GENRE_ONLY,true,true,36.482
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,2,3,557,"Spider-Man",0.5000,GENRE_ONLY,true,true,36.482
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,3,1,129,"Spirited Away",0.5000,GENRE_ONLY,true,true,41.570
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,3,2,557,"Spider-Man",0.5000,GENRE_ONLY,true,true,41.570
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,3,3,1579,"Apocalypto",0.5000,OVERVIEW_ONLY,false,true,41.570
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,4,1,129,"Spirited Away",0.5000,GENRE_ONLY,true,true,49.495
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,4,2,38,"Eternal Sunshine of the Spotless Mind",0.5000,GENRE_ONLY,true,true,49.495
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,4,3,557,"Spider-Man",0.5000,GENRE_ONLY,true,true,49.495
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,4,4,808,"Shrek",0.5000,GENRE_ONLY,false,true,49.495
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,5,1,129,"Spirited Away",0.5000,GENRE_ONLY,true,true,37.930
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,5,2,1726,"Iron Man",0.5000,GENRE_ONLY,true,true,37.930
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,5,3,1579,"Apocalypto",0.5000,OVERVIEW_ONLY,false,true,37.930
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,6,1,7451,"xXx",0.5000,GENRE_ONLY,true,true,30.014
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,6,2,129,"Spirited Away",0.5000,GENRE_ONLY,true,true,30.014
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,6,3,1726,"Iron Man",0.5000,GENRE_ONLY,true,true,30.014
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,6,4,557,"Spider-Man",0.5000,GENRE_ONLY,true,true,30.014
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,7,1,14836,"Coraline",0.5000,GENRE_ONLY,false,true,33.381
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,8,1,13012,"Felon",0.5000,GENRE_ONLY,false,true,29.200
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,8,2,129,"Spirited Away",0.5000,GENRE_ONLY,true,true,29.200
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,8,3,7131,"Van Helsing",0.5000,GENRE_ONLY,true,true,29.200
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,8,4,1579,"Apocalypto",0.5000,OVERVIEW_ONLY,false,true,29.200
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,8,5,808,"Shrek",0.5000,GENRE_ONLY,false,true,29.200
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,9,1,7451,"xXx",0.5000,GENRE_ONLY,true,true,28.762
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,9,2,129,"Spirited Away",0.5000,GENRE_ONLY,true,true,28.762
"control","p005:warm_thriller","p005","adventurous","warm_thriller",true,9,3,1726,"Iron Man",0.5000,GENRE_ONLY,true,true,28.762
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,0,1,808,"Shrek",0.5000,GENRE_ONLY,false,true,31.824
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,0,2,12,"Finding Nemo",0.5000,GENRE_ONLY,false,true,31.824
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,1,1,4935,"Howl's Moving Castle",0.5000,GENRE_ONLY,true,true,38.737
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,1,2,1579,"Apocalypto",0.5000,OVERVIEW_ONLY,false,true,38.737
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,2,1,2062,"Ratatouille",1.0000,OVERVIEW_ONLY,true,true,36.878
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,2,2,129,"Spirited Away",0.5000,GENRE_ONLY,true,true,36.878
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,2,3,9806,"The Incredibles",0.5000,GENRE_ONLY,true,true,36.878
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,2,4,4935,"Howl's Moving Castle",0.5000,GENRE_ONLY,true,true,36.878
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,2,5,7451,"xXx",0.5000,GENRE_ONLY,true,true,36.878
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,3,1,9806,"The Incredibles",0.5000,GENRE_ONLY,true,true,27.449
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,3,2,14836,"Coraline",0.5000,GENRE_ONLY,false,true,27.449
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,3,3,38,"Eternal Sunshine of the Spotless Mind",0.5000,GENRE_ONLY,true,true,27.449
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,3,4,557,"Spider-Man",0.5000,GENRE_ONLY,true,true,27.449
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,3,5,7131,"Van Helsing",0.5000,GENRE_ONLY,true,true,27.449
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,4,1,129,"Spirited Away",0.5000,GENRE_ONLY,true,true,28.896
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,4,2,10681,"WALL·E",0.5000,GENRE_ONLY,false,true,28.896
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,4,3,1726,"Iron Man",0.5000,GENRE_ONLY,true,true,28.896
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,5,1,4935,"Howl's Moving Castle",0.5000,GENRE_ONLY,true,true,31.672
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,5,2,14160,"Up",0.5000,GENRE_ONLY,false,true,31.672
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,5,3,14836,"Coraline",0.5000,GENRE_ONLY,false,true,31.672
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,5,4,10681,"WALL·E",0.5000,GENRE_ONLY,false,true,31.672
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,6,1,4935,"Howl's Moving Castle",0.5000,GENRE_ONLY,true,true,30.424
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,6,2,808,"Shrek",0.5000,GENRE_ONLY,false,true,30.424
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,6,3,38,"Eternal Sunshine of the Spotless Mind",0.5000,GENRE_ONLY,true,true,30.424
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,6,4,1726,"Iron Man",0.5000,GENRE_ONLY,true,true,30.424
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,6,5,557,"Spider-Man",0.5000,GENRE_ONLY,true,true,30.424
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,7,1,4935,"Howl's Moving Castle",0.5000,GENRE_ONLY,true,true,27.381
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,7,2,14836,"Coraline",0.5000,GENRE_ONLY,false,true,27.381
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,7,3,1726,"Iron Man",0.5000,GENRE_ONLY,true,true,27.381
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,7,4,557,"Spider-Man",0.5000,GENRE_ONLY,true,true,27.381
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,7,5,10681,"WALL·E",0.5000,GENRE_ONLY,false,true,27.381
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,8,1,12,"Finding Nemo",0.5000,GENRE_ONLY,false,true,32.192
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,8,2,13012,"Felon",0.5000,GENRE_ONLY,false,true,32.192
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,8,3,1579,"Apocalypto",0.5000,OVERVIEW_ONLY,false,true,32.192
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,9,1,2062,"Ratatouille",1.0000,OVERVIEW_ONLY,true,true,34.460
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,9,2,129,"Spirited Away",0.5000,GENRE_ONLY,true,true,34.460
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,9,3,7451,"xXx",0.5000,GENRE_ONLY,true,true,34.460
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,9,4,557,"Spider-Man",0.5000,GENRE_ONLY,true,true,34.460
"control","p005:warm_comfort","p005","adventurous","warm_comfort",true,9,5,14836,"Coraline",0.5000,GENRE_ONLY,false,true,34.460
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,0,1,557,"Spider-Man",0.5000,GENRE_ONLY,true,true,32.136
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,0,2,7451,"xXx",0.5000,GENRE_ONLY,true,true,32.136
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,0,3,1579,"Apocalypto",0.5000,OVERVIEW_ONLY,false,true,32.136
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,0,4,129,"Spirited Away",0.5000,GENRE_ONLY,true,true,32.136
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,0,5,4935,"Howl's Moving Castle",0.5000,GENRE_ONLY,true,true,32.136
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,1,1,1726,"Iron Man",0.5000,GENRE_ONLY,true,true,30.731
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,1,2,1579,"Apocalypto",0.5000,OVERVIEW_ONLY,false,true,30.731
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,1,3,129,"Spirited Away",0.5000,GENRE_ONLY,true,true,30.731
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,1,4,7131,"Van Helsing",0.5000,GENRE_ONLY,true,true,30.731
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,1,5,13012,"Felon",0.5000,GENRE_ONLY,false,true,30.731
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,2,1,38,"Eternal Sunshine of the Spotless Mind",0.5000,GENRE_ONLY,true,true,31.908
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,2,2,7451,"xXx",0.5000,GENRE_ONLY,true,true,31.908
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,2,3,557,"Spider-Man",0.5000,GENRE_ONLY,true,true,31.908
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,2,4,670,"Oldboy",0.5000,GENRE_ONLY,true,true,31.908
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,2,5,7131,"Van Helsing",0.5000,GENRE_ONLY,true,true,31.908
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,3,1,38,"Eternal Sunshine of the Spotless Mind",0.5000,GENRE_ONLY,true,true,33.229
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,3,2,557,"Spider-Man",0.5000,GENRE_ONLY,true,true,33.229
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,3,3,1726,"Iron Man",0.5000,GENRE_ONLY,true,true,33.229
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,3,4,13012,"Felon",0.5000,GENRE_ONLY,false,true,33.229
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,4,1,557,"Spider-Man",0.5000,GENRE_ONLY,true,true,34.161
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,4,2,7451,"xXx",0.5000,GENRE_ONLY,true,true,34.161
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,4,3,670,"Oldboy",0.5000,GENRE_ONLY,true,true,34.161
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,4,4,1579,"Apocalypto",0.5000,OVERVIEW_ONLY,false,true,34.161
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,4,5,129,"Spirited Away",0.5000,GENRE_ONLY,true,true,34.161
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,5,1,38,"Eternal Sunshine of the Spotless Mind",0.5000,GENRE_ONLY,true,true,32.678
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,5,2,1726,"Iron Man",0.5000,GENRE_ONLY,true,true,32.678
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,5,3,1579,"Apocalypto",0.5000,OVERVIEW_ONLY,false,true,32.678
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,5,4,129,"Spirited Away",0.5000,GENRE_ONLY,true,true,32.678
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,5,5,4935,"Howl's Moving Castle",0.5000,GENRE_ONLY,true,true,32.678
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,6,1,38,"Eternal Sunshine of the Spotless Mind",0.5000,GENRE_ONLY,true,true,39.929
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,6,2,1726,"Iron Man",0.5000,GENRE_ONLY,true,true,39.929
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,6,3,129,"Spirited Away",0.5000,GENRE_ONLY,true,true,39.929
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,6,4,13012,"Felon",0.5000,GENRE_ONLY,false,true,39.929
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,7,1,557,"Spider-Man",0.5000,GENRE_ONLY,true,true,32.040
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,7,2,7451,"xXx",0.5000,GENRE_ONLY,true,true,32.040
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,7,3,1579,"Apocalypto",0.5000,OVERVIEW_ONLY,false,true,32.040
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,7,4,14836,"Coraline",0.5000,GENRE_ONLY,false,true,32.040
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,8,1,557,"Spider-Man",0.5000,GENRE_ONLY,true,true,27.339
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,8,2,1579,"Apocalypto",0.5000,OVERVIEW_ONLY,false,true,27.339
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,8,3,129,"Spirited Away",0.5000,GENRE_ONLY,true,true,27.339
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,9,1,7451,"xXx",0.5000,GENRE_ONLY,true,true,28.333
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,9,2,1726,"Iron Man",0.5000,GENRE_ONLY,true,true,28.333
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,9,3,1579,"Apocalypto",0.5000,OVERVIEW_ONLY,false,true,28.333
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,9,4,4935,"Howl's Moving Castle",0.5000,GENRE_ONLY,true,true,28.333
"control","p005:warm_cerebral","p005","adventurous","warm_cerebral",true,9,5,13012,"Felon",0.5000,GENRE_ONLY,false,true,28.333
"control","p006:cold_general","p006","romantic","cold_general",false,0,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,23.090
"control","p006:cold_general","p006","romantic","cold_general",false,3,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,21.933
"control","p006:cold_general","p006","romantic","cold_general",false,3,2,1156594,"Our Fault",1.0000,OVERVIEW_ONLY,true,true,21.933
"control","p006:cold_general","p006","romantic","cold_general",false,4,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,20.479
"control","p006:cold_general","p006","romantic","cold_general",false,5,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,23.159
"control","p006:cold_general","p006","romantic","cold_general",false,5,2,1156594,"Our Fault",1.0000,OVERVIEW_ONLY,true,true,23.159
"control","p006:cold_general","p006","romantic","cold_general",false,6,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,24.956
"control","p006:warm_thriller","p006","romantic","warm_thriller",true,1,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,35.580
"control","p006:warm_thriller","p006","romantic","warm_thriller",true,1,2,1156594,"Our Fault",1.0000,OVERVIEW_ONLY,true,true,35.580
"control","p006:warm_thriller","p006","romantic","warm_thriller",true,3,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,38.702
"control","p006:warm_thriller","p006","romantic","warm_thriller",true,4,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,32.531
"control","p006:warm_thriller","p006","romantic","warm_thriller",true,5,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,29.125
"control","p006:warm_thriller","p006","romantic","warm_thriller",true,6,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,27.261
"control","p006:warm_thriller","p006","romantic","warm_thriller",true,6,2,1156594,"Our Fault",1.0000,OVERVIEW_ONLY,true,true,27.261
"control","p006:warm_thriller","p006","romantic","warm_thriller",true,7,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,26.946
"control","p006:warm_thriller","p006","romantic","warm_thriller",true,7,2,1156594,"Our Fault",1.0000,OVERVIEW_ONLY,true,true,26.946
"control","p006:warm_thriller","p006","romantic","warm_thriller",true,8,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,30.720
"control","p006:warm_comfort","p006","romantic","warm_comfort",true,0,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,29.817
"control","p006:warm_comfort","p006","romantic","warm_comfort",true,1,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,30.202
"control","p006:warm_comfort","p006","romantic","warm_comfort",true,2,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,28.892
"control","p006:warm_comfort","p006","romantic","warm_comfort",true,3,1,1156594,"Our Fault",1.0000,OVERVIEW_ONLY,true,true,33.012
"control","p006:warm_comfort","p006","romantic","warm_comfort",true,4,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,28.858
"control","p006:warm_comfort","p006","romantic","warm_comfort",true,5,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,30.908
"control","p006:warm_comfort","p006","romantic","warm_comfort",true,5,2,1156594,"Our Fault",1.0000,OVERVIEW_ONLY,true,true,30.908
"control","p006:warm_comfort","p006","romantic","warm_comfort",true,6,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,33.417
"control","p006:warm_comfort","p006","romantic","warm_comfort",true,7,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,29.364
"control","p006:warm_comfort","p006","romantic","warm_comfort",true,7,2,1156594,"Our Fault",1.0000,OVERVIEW_ONLY,true,true,29.364
"control","p006:warm_comfort","p006","romantic","warm_comfort",true,8,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,29.255
"control","p006:warm_cerebral","p006","romantic","warm_cerebral",true,0,1,1156594,"Our Fault",1.0000,OVERVIEW_ONLY,true,true,29.681
"control","p006:warm_cerebral","p006","romantic","warm_cerebral",true,1,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,27.102
"control","p006:warm_cerebral","p006","romantic","warm_cerebral",true,2,1,1156594,"Our Fault",1.0000,OVERVIEW_ONLY,true,true,27.458
"control","p006:warm_cerebral","p006","romantic","warm_cerebral",true,3,1,1156594,"Our Fault",1.0000,OVERVIEW_ONLY,true,true,29.035
"control","p006:warm_cerebral","p006","romantic","warm_cerebral",true,4,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,27.862
"control","p006:warm_cerebral","p006","romantic","warm_cerebral",true,5,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,27.102
"control","p006:warm_cerebral","p006","romantic","warm_cerebral",true,6,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,27.087
"control","p006:warm_cerebral","p006","romantic","warm_cerebral",true,7,1,858024,"Hamnet",1.0000,OVERVIEW_ONLY,true,true,30.519
"control","p006:warm_cerebral","p006","romantic","warm_cerebral",true,8,1,1156594,"Our Fault",1.0000,OVERVIEW_ONLY,true,true,30.208
"control","p007:cold_general","p007","funny","cold_general",false,0,1,567609,"Ready or Not",0.5000,GENRE_ONLY,true,true,23.490
"control","p007:cold_general","p007","funny","cold_general",false,0,2,324857,"Spider-Man: Into the Spider-Verse",0.5000,GENRE_ONLY,false,true,23.490
"control","p007:cold_general","p007","funny","cold_general",false,0,3,372058,"Your Name.",0.5000,GENRE_ONLY,false,true,23.490
"control","p007:cold_general","p007","funny","cold_general",false,0,4,77338,"The Intouchables",0.5000,GENRE_ONLY,false,true,23.490
"control","p007:cold_general","p007","funny","cold_general",false,0,5,214756,"Ted 2",0.5000,GENRE_ONLY,false,true,23.490
"control","p007:cold_general","p007","funny","cold_general",false,1,1,567609,"Ready or Not",0.5000,GENRE_ONLY,true,true,21.914
"control","p007:cold_general","p007","funny","cold_general",false,2,1,372058,"Your Name.",0.5000,GENRE_ONLY,false,true,23.479
"control","p007:cold_general","p007","funny","cold_general",false,2,2,269149,"Zootopia",0.5000,GENRE_ONLY,false,true,23.479
"control","p007:cold_general","p007","funny","cold_general",false,3,1,286687,"Love Lesson",0.5000,GENRE_ONLY,true,true,23.101
"control","p007:cold_general","p007","funny","cold_general",false,4,1,567609,"Ready or Not",0.5000,GENRE_ONLY,true,true,23.994
"control","p007:cold_general","p007","funny","cold_general",false,4,2,324857,"Spider-Man: Into the Spider-Verse",0.5000,GENRE_ONLY,false,true,23.994
"control","p007:cold_general","p007","funny","cold_general",false,5,1,567609,"Ready or Not",0.5000,GENRE_ONLY,true,true,19.652
"control","p007:cold_general","p007","funny","cold_general",false,5,2,77338,"The Intouchables",0.5000,GENRE_ONLY,false,true,19.652
